"SiteID","Site Name","State","County","Total Number of Passing Samples","Number of Samples","Percent Pass All Samples","Grade All Samples","Dry Weather Passing Samples","Total Dry Weather Samples","Percent Pass Dry Samples","Grade Dry Samples","Wet Weather Passing Samples","Total Wet Weather Samples","Percent Pass Wet Samples","Grade Wet Samples"
"NY092168","HUDSON PARK","NY","WESTCHESTER","165","192","85.94","C","129","138","93.48","B+","36","54","66.67","F"
"NY238322","BECKWITHE POINTE","NY","WESTCHESTER","86","90","95.56","A-","63","63","100.0","A+","23","27","85.19","C"
"NY255139","GREENTREE CLUB","NY","WESTCHESTER","82","93","88.17","C+","63","67","94.03","B+","19","26","73.08","F"
"NY259438","MANURSING ISLAND CLUB","NY","WESTCHESTER","86","89","96.63","A-","57","57","100.0","A+","29","32","90.63","B-"
"NY352572","DAVENPORT CLUB","NY","WESTCHESTER","83","93","89.25","B-","64","66","96.97","A-","19","27","70.37","F"
"NY397308","WESTCHESTER COUNTRY CLUB BEACH","NY","WESTCHESTER","173","187","92.51","B","114","118","96.61","A-","59","69","85.51","C"
"NY411367","GLEN ISLAND PARK","NY","WESTCHESTER","87","88","98.86","A","61","61","100.0","A+","26","27","96.3","A-"
"NY452361","SURF CLUB","NY","WESTCHESTER","78","97","80.41","D","59","66","89.39","B-","19","31","61.29","F"
"NY454053","RYE TOWN PARK - OAKLAND BEACH","NY","WESTCHESTER","87","91","95.6","A-","57","57","100.0","A+","30","34","88.24","C+"
"NY466491","ORIENTA BEACH CLUB","NY","WESTCHESTER","86","94","91.49","B","61","61","100.0","A+","25","33","75.76","F"
"NY485642","LARCHMONT MANOR PARK","NY","WESTCHESTER","85","90","94.44","B+","63","63","100.0","A+","22","27","81.48","D+"
"NY603669","AMERICAN YACHT CLUB","NY","WESTCHESTER","88","92","95.65","A-","59","59","100.0","A+","29","33","87.88","C+"
"NY629541","SHORE ACRES CLUB","NY","WESTCHESTER","71","96","73.96","F","59","66","89.39","B-","12","30","40.0","F"
"NY653743","SHENOROCK SHORE CLUB","NY","WESTCHESTER","87","93","93.55","B+","57","59","96.61","A-","30","34","88.24","C+"
"NY655241","RYE PLAYLAND BEACH","NY","WESTCHESTER","84","89","94.38","B+","58","58","100.0","A+","26","31","83.87","C-"
"NY705603","LARCHMONT SHORE CLUB","NY","WESTCHESTER","88","90","97.78","A","64","64","100.0","A+","24","26","92.31","B"
"NY847981","BEACH POINT CLUB","NY","WESTCHESTER","89","92","96.74","A-","60","60","100.0","A+","29","32","90.63","B-"
"NY937940","HARBOR ISLAND BEACH","NY","WESTCHESTER","144","160","90.0","B-","104","107","97.2","A","40","53","75.47","F"
"NY948448","COVELEIGH BEACH CLUB","NY","WESTCHESTER","84","93","90.32","B-","58","60","96.67","A-","26","33","78.79","D-"
